corpus_id,bucket,register,category,court,question_type,level,WC,FRE,ARI,TTR,MTLD,MCD,MaxCD,MLS,MLC,CT_T,DC_C,NomR,MAL,MaxAL,LeftBR,MeanArcCross,MaxArcCross,n_sent
csat_261120,high_density,csat,,,claim,,126,11.386,19.916,0.6032,65.5,1.0,2,25.2,12.6,0.625,0.5,0.1791,2.3177,12.4,0.4876,1.1243,3.4,5
csat_230622,high_density,csat,,,gist,,155,45.8,14.733,0.6645,94.06,1.2857,3,22.286,8.667,0.75,0.6667,0.1235,2.4803,11.714,0.4765,1.2368,3.714,7
csat_230922,high_density,csat,,,gist,,140,34.255,13.028,0.5786,42.41,1.0,3,20.286,9.467,0.375,0.5333,0.1392,2.4905,11.429,0.4889,1.2406,3.429,7
csat_231122,high_density,csat,,,gist,,156,10.703,18.894,0.6667,107.06,1.3333,3,26.5,9.938,0.75,0.625,0.09,2.7751,14.5,0.5098,1.4617,4.167,6
csat_240622,high_density,csat,,,gist,,176,46.243,13.674,0.6477,93.69,1.8571,3,25.571,7.458,0.8889,0.7083,0.1039,2.2966,10.857,0.5,1.0992,3.143,7
csat_240922,high_density,csat,,,gist,,151,39.207,14.115,0.702,110.61,1.375,3,18.875,7.55,0.8182,0.6,0.1375,2.3595,8.75,0.4965,1.1283,3.375,8
csat_241122,high_density,csat,,,gist,,168,30.869,17.55,0.6667,93.55,2.0,3,28.5,7.435,0.8571,0.7391,0.15,2.2839,9.167,0.503,1.1058,3.333,6
csat_250622,high_density,csat,,,gist,,172,50.243,12.377,0.6337,80.59,1.25,3,21.75,8.7,0.7692,0.65,0.0588,2.8089,12.125,0.5,1.5166,4.125,8
csat_250922,high_density,csat,,,gist,,143,34.742,15.354,0.7273,146.81,1.8333,5,24.0,6.0,0.625,0.75,0.0822,2.3995,13.667,0.413,1.1974,3.333,6
csat_251122,high_density,csat,,,gist,,147,29.457,15.972,0.619,69.7,1.3333,2,24.667,9.25,0.5,0.625,0.1585,2.3171,9.667,0.4648,1.1619,3.833,6
csat_260622,high_density,csat,,,gist,,152,39.751,14.911,0.6447,77.4,1.5,3,25.5,8.5,0.5556,0.6667,0.141,2.6624,12.5,0.449,1.3488,3.5,6
csat_260922,high_density,csat,,,gist,,145,41.993,11.702,0.6138,62.76,1.125,3,18.25,7.684,0.875,0.5789,0.1333,2.0311,6.875,0.4638,0.8609,2.5,8
csat_261122,high_density,csat,,,gist,,177,39.744,12.061,0.6554,114.21,1.5,3,17.7,7.08,0.8333,0.6,0.1183,1.9156,6.1,0.4671,0.8067,2.8,10
csat_230623,high_density,csat,,,topic,,176,19.212,21.914,0.5966,81.14,2.0,3,35.2,11.0,0.7273,0.6875,0.1429,2.6686,15.6,0.5029,1.4195,4.2,5
csat_230923,high_density,csat,,,topic,,156,27.488,16.705,0.6859,147.45,1.1429,2,22.857,8.421,0.5455,0.6316,0.1573,2.5503,12.0,0.5229,1.282,4.143,7
csat_231123,high_density,csat,,,topic,,148,26.464,16.542,0.7297,153.33,1.2857,3,21.286,7.095,0.5,0.6667,0.125,2.2095,9.857,0.493,0.9802,2.857,7
csat_240623,high_density,csat,,,topic,,164,33.231,19.583,0.6585,92.39,2.4,4,32.8,8.2,0.8333,0.8,0.0909,2.5598,14.0,0.5283,1.3707,4.2,5
csat_240923,high_density,csat,,,topic,,162,30.856,15.378,0.6235,81.53,1.0,3,23.143,8.526,0.5,0.6316,0.1667,2.3935,12.857,0.4968,1.1268,3.429,7
csat_241123,high_density,csat,,,topic,,143,12.853,18.318,0.6643,97.53,1.1667,2,24.0,10.286,0.8889,0.5714,0.0989,2.7044,12.0,0.5072,1.4119,4.0,6
csat_250623,high_density,csat,,,topic,,145,35.86,16.282,0.6138,67.23,1.3333,2,24.167,9.062,0.8571,0.625,0.1071,2.3813,11.5,0.5036,1.1317,3.5,6
csat_250923,high_density,csat,,,topic,,166,45.228,15.074,0.6024,71.63,2.0,4,27.833,7.952,0.8889,0.7143,0.0494,2.2994,11.167,0.4534,1.1001,3.0,6
csat_251123,high_density,csat,,,topic,,149,44.793,15.042,0.6577,89.94,1.1667,3,25.333,9.5,0.6,0.625,0.037,2.8042,14.5,0.4932,1.5356,4.333,6
csat_260623,high_density,csat,,,topic,,179,48.297,11.675,0.5642,65.11,1.5,3,18.0,5.806,0.75,0.6774,0.0989,2.4821,9.9,0.5059,1.2062,3.5,10
csat_260923,high_density,csat,,,topic,,148,16.747,17.911,0.6284,83.12,0.5714,2,21.143,13.455,0.3333,0.3636,0.1705,2.3189,9.571,0.4468,1.0332,2.857,7
csat_261123,high_density,csat,,,topic,,149,59.611,11.18,0.6779,99.8,1.25,2,19.125,6.652,0.8182,0.6522,0.0244,2.4446,10.125,0.5448,1.1789,3.125,8
csat_230624,high_density,csat,,,title,,160,41.401,14.638,0.6125,72.57,1.1429,3,23.286,10.188,0.8889,0.5625,0.0526,2.2707,11.0,0.5256,1.0969,3.286,7
csat_230924,high_density,csat,,,title,,164,38.742,12.897,0.689,113.6,1.3333,3,18.222,7.81,0.6667,0.5714,0.1398,1.9299,4.778,0.5097,0.765,2.667,9
csat_231124,high_density,csat,,,title,,185,55.184,11.456,0.5459,44.27,2.0,4,21.111,6.129,0.8333,0.7097,0.0833,2.5389,9.889,0.4751,1.2798,3.667,9
csat_240624,high_density,csat,,,title,,170,24.435,15.499,0.7169,166.0,0.5,3,21.75,13.385,0.1111,0.4615,0.1538,2.7858,13.125,0.4759,1.4917,4.0,8
csat_240924,high_density,csat,,,title,,141,24.012,18.391,0.6454,83.16,0.8,2,28.4,12.909,0.6,0.5455,0.0602,2.3251,11.6,0.4526,1.0744,3.4,5
csat_241124,high_density,csat,,,title,,181,49.177,11.769,0.6575,95.14,0.6,1,18.2,11.375,0.4,0.375,0.1176,2.1327,9.0,0.4244,0.9417,2.9,10
csat_250624,high_density,csat,,,title,,173,38.957,15.866,0.655,104.05,1.0,3,24.857,11.6,0.5714,0.5333,0.0606,2.295,9.0,0.5629,1.1184,3.429,7
csat_250924,high_density,csat,,,title,,152,62.32,11.403,0.6776,68.7,1.25,2,19.625,7.85,0.75,0.6,0.0341,2.6018,11.75,0.5302,1.3153,3.875,8
csat_251124,high_density,csat,,,title,,138,51.073,13.074,0.6159,63.08,1.5,3,24.0,9.0,0.7,0.625,0.0704,2.5376,11.667,0.5362,1.2865,4.167,6
csat_260624,high_density,csat,,,title,,174,44.753,12.734,0.6494,90.86,0.8889,2,19.889,9.421,0.8,0.5263,0.0978,2.6314,11.778,0.4412,1.2447,3.667,9
csat_260924,high_density,csat,,,title,,160,31.884,16.257,0.6312,83.88,1.1429,3,23.0,9.471,0.5714,0.5882,0.1818,1.899,6.429,0.4026,0.765,2.286,7
csat_261124,high_density,csat,,,title,,160,21.309,17.434,0.7,112.15,1.2857,2,23.143,8.526,0.875,0.6316,0.1828,2.4786,10.571,0.4452,1.2687,3.857,7
csat_230621,high_density,csat,,,implication,,169,53.177,11.934,0.4675,40.07,1.8571,3,24.286,7.391,0.8889,0.6957,0.1449,2.5008,11.0,0.5399,1.2424,3.714,7
csat_230921,high_density,csat,,,implication,,173,58.708,9.518,0.6763,161.37,1.2,3,17.8,7.739,0.5556,0.6522,0.0385,2.5164,9.3,0.5298,1.3004,4.0,10
csat_231121,high_density,csat,,,implication,,170,47.323,15.066,0.5588,45.58,1.1429,2,24.714,9.611,0.7,0.6111,0.1125,2.7642,13.286,0.4036,1.4189,4.0,7
csat_240621,high_density,csat,,,implication,,153,62.623,12.253,0.5948,51.08,1.1667,3,25.667,9.625,0.375,0.625,0.0133,2.2754,13.333,0.5068,1.0719,3.167,6
csat_240921,high_density,csat,,,implication,,162,39.997,17.074,0.6173,62.41,1.6667,4,27.5,9.167,0.6364,0.6667,0.0737,2.3007,13.5,0.4843,1.0954,2.667,6
csat_241121,high_density,csat,,,implication,,161,55.042,11.568,0.5652,67.64,0.9,3,16.6,7.905,0.5455,0.619,0.1047,1.9753,7.1,0.5769,0.8254,2.6,10
csat_250621,high_density,csat,,,implication,,164,70.992,10.159,0.5793,87.47,1.25,4,21.25,7.083,0.5,0.6667,0.0513,2.3436,9.625,0.5309,1.0889,2.875,8
csat_250921,high_density,csat,,,implication,,152,36.968,16.274,0.6908,111.26,1.3333,3,25.333,9.5,0.6,0.625,0.1053,2.7242,15.333,0.4932,1.4975,4.0,6
csat_251121,high_density,csat,,,implication,,150,6.341,24.826,0.68,64.98,2.25,4,37.5,7.895,0.6667,0.7895,0.0921,2.5642,14.0,0.4452,1.3103,4.25,4
csat_260621,high_density,csat,,,implication,,170,64.249,9.459,0.5882,102.05,1.0,3,15.818,7.565,0.6429,0.5217,0.0899,2.1614,9.091,0.5706,0.9479,3.091,11
csat_260921,high_density,csat,,,implication,,193,42.517,13.28,0.555,70.0,1.375,4,24.375,8.478,0.6364,0.6522,0.0808,2.1858,10.25,0.4118,1.0216,3.0,8
csat_261121,high_density,csat,,,implication,,174,46.926,14.63,0.6552,78.9,1.4286,3,25.0,9.722,0.4545,0.6111,0.0625,2.7335,13.429,0.5714,1.5066,3.857,7
csat_230640,high_density,csat,,,summary,,179,40.438,16.879,0.6816,81.63,1.3333,3,30.667,10.222,0.8182,0.6667,0.1158,2.5137,12.667,0.4045,1.2925,4.0,6
csat_230940,high_density,csat,,,summary,,141,5.79,18.271,0.7447,154.63,1.1429,2,20.286,8.875,0.625,0.5625,0.1685,2.5444,12.857,0.5407,1.2538,3.429,7
csat_231140,high_density,csat,,,summary,,169,44.667,15.223,0.6272,103.52,1.2857,2,24.286,8.947,0.7143,0.6842,0.0769,2.6696,12.857,0.5276,1.3847,3.714,7
csat_240640,high_density,csat,,,summary,,169,20.639,16.449,0.6686,93.89,1.1429,2,24.429,12.214,0.5,0.5714,0.0976,2.4123,13.429,0.5488,1.1639,3.286,7
csat_240940,high_density,csat,,,summary,,173,35.246,15.573,0.659,96.78,1.625,3,21.75,7.565,0.875,0.6522,0.1313,2.4005,10.625,0.5181,1.1565,3.375,8
csat_241140,high_density,csat,,,summary,,152,46.207,13.597,0.7237,153.01,0.7143,2,21.714,11.692,0.4444,0.4615,0.0921,2.4158,12.0,0.4759,1.2033,3.714,7
csat_250640,high_density,csat,,,summary,,153,20.952,19.452,0.6601,89.63,1.4,4,31.0,11.071,0.6,0.6429,0.1548,2.9205,16.4,0.5133,1.6615,5.0,5
csat_250940,high_density,csat,,,summary,,170,50.81,10.401,0.5882,75.95,1.0,2,18.889,8.5,0.7,0.55,0.033,2.1804,7.778,0.5528,1.0237,3.111,9
csat_251140,high_density,csat,,,summary,,149,31.734,17.002,0.6913,115.86,1.0,2,25.0,10.714,0.6364,0.5714,0.0964,2.6555,10.833,0.5069,1.3792,4.0,6
csat_260640,high_density,csat,,,summary,,173,51.671,13.606,0.5665,75.12,0.8571,2,24.857,9.667,0.4,0.6111,0.0879,2.5994,14.714,0.5389,1.3433,3.571,7
csat_260940,high_density,csat,,,summary,,161,43.481,13.704,0.646,94.2,0.875,3,20.25,10.8,0.5,0.4667,0.0449,2.5383,11.375,0.487,1.2649,3.625,8
csat_261140,high_density,csat,,,summary,,150,14.656,17.398,0.7267,153.66,0.8571,2,21.714,11.692,0.4545,0.4615,0.1596,2.445,8.857,0.4552,1.1526,3.429,7
arxiv_2605.20179v1,high_density,arxiv_abstract,cs.CL,,,,189,17.62,17.222,0.6825,136.42,1.125,2,25.375,10.684,0.8889,0.5789,0.1513,3.1042,13.25,0.5692,1.6544,4.375,8
arxiv_2605.20177v1,high_density,arxiv_abstract,cs.CL,,,,210,11.409,18.977,0.6359,110.38,1.5714,3,31.286,10.95,0.7,0.65,0.1233,2.8478,14.571,0.5,1.4832,3.857,7
arxiv_2605.20176v1,high_density,arxiv_abstract,cs.CL,,,,259,26.423,14.361,0.6163,123.21,0.8889,2,30.667,13.8,0.5625,0.55,0.1159,2.8622,13.222,0.5281,1.528,4.444,9
arxiv_2605.20170v1,high_density,arxiv_abstract,cs.CL,,,,163,22.145,18.578,0.7301,169.08,0.625,2,21.125,13.0,0.3636,0.4615,0.1121,2.6619,11.125,0.5342,1.3492,4.125,8
arxiv_2605.20158v1,high_density,arxiv_abstract,cs.CL,,,,196,-0.713,23.834,0.7077,157.98,1.5714,3,29.714,9.043,0.7,0.6957,0.1471,2.873,18.714,0.5224,1.5426,4.286,7
arxiv_2605.20149v1,high_density,arxiv_abstract,cs.CL,,,,141,39.625,15.177,0.708,131.51,0.875,2,18.75,10.714,0.4,0.5,0.1531,2.409,8.75,0.5352,1.0877,3.625,8
arxiv_2605.20128v1,high_density,arxiv_abstract,cs.CL,,,,144,5.852,20.376,0.7482,154.57,1.5,3,25.167,7.947,0.8333,0.6842,0.1237,2.822,10.833,0.5517,1.417,4.5,6
arxiv_2605.20087v1,high_density,arxiv_abstract,cs.CL,,,,164,22.502,20.498,0.7421,172.65,1.0,3,21.875,10.938,0.6429,0.5,0.1197,2.4463,10.75,0.503,1.1115,3.125,8
arxiv_2605.20084v1,high_density,arxiv_abstract,cs.CL,,,,196,15.357,20.426,0.7143,180.49,1.25,2,25.875,10.35,0.7333,0.6,0.0833,2.9343,11.25,0.5477,1.5517,4.0,8
arxiv_2605.20075v1,high_density,arxiv_abstract,cs.CL,,,,258,7.841,20.588,0.6641,135.83,1.4,4,26.9,9.963,0.6667,0.6296,0.0667,2.4738,11.4,0.556,1.205,3.8,10
arxiv_2605.20066v1,high_density,arxiv_abstract,cs.CL,,,,190,-0.274,22.87,0.6737,135.03,1.7143,4,30.0,11.053,0.6667,0.6316,0.1286,2.8736,12.429,0.5665,1.513,4.429,7
arxiv_2605.20061v1,high_density,arxiv_abstract,cs.CL,,,,174,-0.933,21.621,0.7977,239.43,1.125,3,23.75,9.5,0.5455,0.6,0.1094,2.6009,11.875,0.5495,1.2881,3.75,8
arxiv_2605.20052v1,high_density,arxiv_abstract,cs.CL,,,,171,0.108,23.384,0.7353,179.82,1.25,3,23.125,9.737,0.5833,0.5789,0.0853,2.621,11.875,0.5311,1.334,4.0,8
arxiv_2605.20050v1,high_density,arxiv_abstract,cs.CL,,,,149,-0.436,20.792,0.7114,149.0,0.7143,2,21.571,11.615,0.5,0.4615,0.1683,2.8705,12.429,0.5069,1.52,3.714,7
arxiv_2605.20043v1,high_density,arxiv_abstract,cs.CL,,,,160,-19.934,24.176,0.7707,191.71,1.2857,2,24.286,10.0,0.6667,0.5882,0.1379,2.5844,12.571,0.4908,1.3167,3.857,7
arxiv_2605.20022v1,high_density,arxiv_abstract,cs.CL,,,,263,2.828,22.784,0.6269,123.42,1.8889,3,29.444,8.833,0.6923,0.7333,0.1111,2.754,14.556,0.5273,1.5264,4.333,9
arxiv_2605.19952v1,high_density,arxiv_abstract,cs.CL,,,,177,-2.985,22.682,0.7853,230.85,1.0,2,22.75,8.667,0.6667,0.619,0.0992,2.4325,11.5,0.5517,1.1847,3.25,8
arxiv_2605.19945v1,high_density,arxiv_abstract,cs.CL,,,,280,48.6,12.429,0.5144,82.83,1.3077,3,22.231,9.323,0.7222,0.5806,0.0727,2.4633,10.538,0.4783,1.2605,4.0,13
arxiv_2605.19944v1,high_density,arxiv_abstract,cs.CL,,,,160,-2.928,20.301,0.7673,191.32,1.5,3,21.125,7.348,0.7273,0.6522,0.1667,2.6328,10.0,0.5652,1.2843,3.875,8
arxiv_2605.19936v1,high_density,arxiv_abstract,cs.CL,,,,178,13.227,21.663,0.7184,156.32,1.0,3,30.667,14.154,0.7143,0.5385,0.0973,2.5513,10.833,0.5,1.3364,3.667,6
arxiv_2605.19932v1,high_density,arxiv_abstract,cs.CL,,,,236,32.061,15.495,0.6724,147.09,1.1111,2,28.333,11.591,0.5,0.5909,0.0743,2.7587,13.556,0.5325,1.372,4.111,9
